
 Symbol Table Format is:
 	Lexeme				Token			Attribute Value

   #include<stdio.h>                 Pre processor                   0
                void                       Keyword                   1
                main                    Identifier                   2
                   (                    Punctuator                   3
                   )                    Punctuator                   4
                   {                    Punctuator                   5
               float                       Keyword                   6
                   a                    Identifier                   7
                   ,                    Punctuator                   8
                   b                    Identifier                   9
                   c                    Identifier                  10
                   e                    Identifier                  11
                   ;                    Punctuator                  12
                char                       Keyword                  13
               d[10]                         Array                  14
                   =                      Operator                  15
             "Hello"                        String                  16
                 5.3                      Constant                  17
                2.65                      Constant                  18
                   +                      Operator                  19
               scanf              Inbuilt Function                  20
                "%f"                        String                  21
                   &                      Operator                  22
                  if                       Keyword                  23
                   >                      Operator                  24
                 5.0                      Constant                  25
              printf              Inbuilt Function                  26
                else                       Keyword                  27
                   <                      Operator                  28
                "%s"                        String                  29
                   d                    Identifier                  30
           "Nothing"                        String                  31
                   }                    Punctuator                  32
