
 Symbol Table Format is:
 	Lexeme				Token			Attribute Value

   #include<stdio.h>                 Pre processor                   0
                void                       Keyword                   1
                main                    Identifier                   2
                   (                    Punctuator                   3
                   )                    Punctuator                   4
                   {                    Punctuator                   5
                 int                       Keyword                   6
               a[10]                         Array                   7
                   ;                    Punctuator                   8
                   ,                    Punctuator                   9
                  _l                    Identifier                  10
                   =                      Operator                  11
                  15                      Constant                  12
                  10                      Constant                  13
              printf              Inbuilt Function                  14
             "%d %d"                        String                  15
