
 Symbol Table Format is:
 	Lexeme				Token			Attribute Value

   #include<stdio.h>                 Pre processor                   0
             #define                 Pre processor                   1
                   A                    Identifier                   2
                   5                      Constant                   3
                void                       Keyword                   4
                main                    Identifier                   5
                   (                    Punctuator                   6
                   )                    Punctuator                   7
                   {                    Punctuator                   8
                 int                       Keyword                   9
                   a                    Identifier                  10
                   ,                    Punctuator                  11
                   b                    Identifier                  12
                   ;                    Punctuator                  13
               float                       Keyword                  14
                   c                    Identifier                  15
                   d                    Identifier                  16
                   e                    Identifier                  17
               f[10]                         Array                  18
                   =                      Operator                  19
                   +                      Operator                  20
               10.32                      Constant                  21
               12.33                      Constant                  22
                   -                      Operator                  23
              printf              Inbuilt Function                  24
             "%d %f"                        String                  25
                   }                    Punctuator                  26
