Lexeme	Type	ArrayDim  Procedure Definition  nesting level  Belongs to Func  Parameters list 
----------------------------------------------------------------------------------
i 				int 	0 		0 			2		2		NA
g 				int 	10 		0 			1		2		NA
f 				int 	0 		0 			1		2		NA
e 				int 	0 		0 			1		2		NA
d 				int 	0 		0 			1		2		NA
c 				float 	0 		0 			1		2		NA
a 				int 	0 		0 			1		2		NA
main 			int 	0 		1 			0		2		NA
b 				int 	0 		0 			1		1		NA
a 				int 	0 		0 			1		1		NA
add 			int 	0 		1 			0		1		int, int, 
