
 Symbol Table Format is:
 	Lexeme				Token			Line No			Attribute Value

   #include<stdio.h>                 Pre processor                   1                   0
                Void                    Identifier                   3                   1
                main                    Identifier                   3                   2
                   (                    Punctuator                   3                   3
                   )                    Punctuator                   3                   4
                   {                    Punctuator                   4                   5
                This                    Identifier                   5                   6
                  is                    Identifier                   5                   7
               error                    Identifier                   5                   8
                char                       Keyword                   6                   9
                   a                    Identifier                   6                  10
                   [                    Punctuator                   6                  11
                  10                      Constant                   6                  12
                   ]                    Punctuator                   6                  13
                   =                      Operator                   6                  14
                   ;                    Punctuator                   6                  15
                 int                       Keyword                   7                  16
                   ;                    Punctuator                   7                  15
              printf                    Identifier                   8                  17
                   (                    Punctuator                   8                   3
                   )                    Punctuator                   8                   4
                   ;                    Punctuator                   8                  15
              printf                    Identifier                   9                  17
                   (                    Punctuator                   9                   3
      "hello /" hi "                        String                   9                  18
                   )                    Punctuator                   9                   4
                   ;                    Punctuator                   9                  15
                   }                    Punctuator                  10                  19
