
 Symbol Table Format is:
 	Lexeme				Token			Line No			Attribute Value

   #include<stdio.h>                 Pre processor                   1                   0
                void                       Keyword                   3                   1
                main                    Identifier                   3                   2
                   (                    Punctuator                   3                   3
                   )                    Punctuator                   3                   4
                   {                    Punctuator                   4                   5
               float                       Keyword                   5                   6
                   a                    Identifier                   5                   7
                   ,                    Punctuator                   5                   8
                   b                    Identifier                   5                   9
                   ,                    Punctuator                   5                   8
                   c                    Identifier                   5                  10
                   ,                    Punctuator                   5                   8
                   e                    Identifier                   5                  11
                   ;                    Punctuator                   5                  12
                char                       Keyword                   6                  13
                   d                    Identifier                   6                  14
                   [                    Punctuator                   6                  15
                  10                      Constant                   6                  16
                   ]                    Punctuator                   6                  17
                   =                      Operator                   6                  18
             "Hello"                        String                   6                  19
                   ;                    Punctuator                   6                  12
                   a                    Identifier                   7                   7
                   =                      Operator                   7                  18
                 5.3                      Constant                   7                  20
                   ;                    Punctuator                   7                  12
                   b                    Identifier                   8                   9
                   =                      Operator                   8                  18
                2.65                      Constant                   8                  21
                   ;                    Punctuator                   8                  12
                   c                    Identifier                   9                  10
                   =                      Operator                   9                  18
                   a                    Identifier                   9                   7
                   +                      Operator                   9                  22
                   b                    Identifier                   9                   9
                   ;                    Punctuator                   9                  12
               scanf                    Identifier                  10                  23
                   (                    Punctuator                  10                   3
                "%f"                        String                  10                  24
                   ,                    Punctuator                  10                   8
                   &                      Operator                  10                  25
                   e                    Identifier                  10                  11
                   )                    Punctuator                  10                   4
                   ;                    Punctuator                  10                  12
                  if                       Keyword                  12                  26
                   (                    Punctuator                  12                   3
                   e                    Identifier                  12                  11
                   >                      Operator                  12                  27
                 5.0                      Constant                  12                  28
                   )                    Punctuator                  12                   4
              printf                    Identifier                  13                  29
                   (                    Punctuator                  13                   3
                "%f"                        String                  13                  24
                   ,                    Punctuator                  13                   8
                   c                    Identifier                  13                  10
                   )                    Punctuator                  13                   4
                   ;                    Punctuator                  13                  12
                else                       Keyword                  14                  30
                  if                       Keyword                  14                  26
                   (                    Punctuator                  14                   3
                   e                    Identifier                  14                  11
                   <                      Operator                  14                  31
                 5.0                      Constant                  14                  28
                   )                    Punctuator                  14                   4
              printf                    Identifier                  15                  29
                   (                    Punctuator                  15                   3
                "%s"                        String                  15                  32
                   ,                    Punctuator                  15                   8
                   d                    Identifier                  15                  14
                   )                    Punctuator                  15                   4
                   ;                    Punctuator                  15                  12
                else                       Keyword                  16                  30
              printf                    Identifier                  17                  29
                   (                    Punctuator                  17                   3
           "Nothing"                        String                  17                  33
                   )                    Punctuator                  17                   4
                   ;                    Punctuator                  17                  12
                   }                    Punctuator                  18                  34
